,Classifier,Accuracy Train,Accuracy Dev,Accuracy Test,Weighted F1 Train,Weighted F1 Dev,Weighted F1 Test,Macro F1 Train,Macro F1 Dev,Macro F1 Test,Micro F1 Train,Micro F1 Dev,Micro F1 Test,Weighted Recall Train,Weighted Recall Dev,Weighted Recall Test,Macro Recall Train,Macro Recall Dev,Macro Recall Test,Micro Recall Train,Micro Recall Dev,Micro Recall Test,Algorithm,Embedding
54,Linear_Discriminant_Analysis_better-no-pca,0.932958439504437,0.925782623988744,0.931482782853127,0.93091555044396,0.922452503904896,0.927858656079817,0.73489134658205,0.513489338046069,0.513281075781864,0.932958439504437,0.925782623988744,0.931482782853127,0.932958439504437,0.925782623988744,0.931482782853127,0.734180861209184,0.500389733550095,0.4986157603805116,0.932958439504437,0.925782623988744,0.931482782853127,Linear_Discriminant_Analysis,better-no-pca
71,MLP_better-pca,0.949037870134434,0.925782623988744,0.933942375263527,0.943667912040109,0.917779918195022,0.92621715188508,0.540295348444683,0.4959857372752229,0.50179242764647,0.949037870134434,0.925782623988744,0.933942375263527,0.949037870134434,0.925782623988744,0.933942375263527,0.50794325017767,0.469709068913669,0.4730104126494407,0.949037870134434,0.925782623988744,0.933942375263527,MLP,better-pca
62,Logistic_Regression_better-no-pca,0.935286881644846,0.92402391839606,0.931131412508784,0.926110131181853,0.913686736060387,0.921669688970863,0.4955325387825912,0.483947321491296,0.4889583030185445,0.935286881644846,0.92402391839606,0.931131412508784,0.935286881644846,0.92402391839606,0.931131412508784,0.4630742309678481,0.45481571375144,0.458729399665766,0.935286881644846,0.92402391839606,0.931131412508784,Logistic_Regression,better-no-pca
94,Perceptron_better-no-pca,0.928037958000175,0.921561730566303,0.924455375966268,0.92159641995461,0.914665350707337,0.920375849357491,0.4906213132502628,0.49194636422706,0.496102762468763,0.928037958000175,0.921561730566303,0.924455375966268,0.928037958000175,0.921561730566303,0.924455375966268,0.46827365531782,0.4703435188789411,0.480382568453528,0.928037958000175,0.921561730566303,0.924455375966268,Perceptron,better-no-pca
118,XGBoost_better-no-pca,0.93976803444337,0.92507914175167,0.929725931131412,0.929413880087789,0.912042626393185,0.918274038718544,0.65937351007331,0.476075452089523,0.478075864522163,0.93976803444337,0.92507914175167,0.929725931131412,0.93976803444337,0.92507914175167,0.929725931131412,0.56558176704706,0.4431518520214625,0.4461673736984188,0.93976803444337,0.92507914175167,0.929725931131412,XGBoost,better-no-pca
31,KNN_better-pca,0.95136631227484,0.905029897995075,0.917779339423752,0.950410138481227,0.904541172197772,0.917780872078567,0.681053720223148,0.4843421012973257,0.4997407959733168,0.95136631227484,0.905029897995075,0.917779339423752,0.95136631227484,0.905029897995075,0.917779339423752,0.631088044185083,0.4839684511406742,0.50203573724129,0.95136631227484,0.905029897995075,0.917779339423752,KNN,better-pca
110,Random_Forests_better-no-pca,0.98914858096828,0.918396060499472,0.927969079409697,0.988724768450807,0.8964252369056,0.910007909217749,0.821477846071353,0.43059938161045,0.4486357356578602,0.98914858096828,0.918396060499472,0.927969079409697,0.98914858096828,0.918396060499472,0.927969079409697,0.748908739086688,0.402335729932299,0.4154050649183,0.98914858096828,0.918396060499472,0.927969079409697,Random_Forests,better-no-pca
79,Naive_Bayes_better-pca,0.923688603813373,0.911361238128737,0.925158116654954,0.902079369802026,0.88750934834045,0.906833147945327,0.420735674412249,0.4100826516682296,0.4412967141088059,0.923688603813373,0.911361238128737,0.925158116654954,0.923688603813373,0.911361238128737,0.925158116654954,0.394528822681482,0.3887833062380265,0.410762308780048,0.923688603813373,0.911361238128737,0.925158116654954,Naive_Bayes,better-pca
15,Decision_Trees_better-pca,0.921799490378701,0.909602532536053,0.91988756148981,0.90762592912614,0.892721337308921,0.906336052066473,0.4465654215191743,0.431978884220048,0.4491289198606271,0.921799490378701,0.909602532536053,0.91988756148981,0.921799490378701,0.909602532536053,0.91988756148981,0.419993840030558,0.408953567803143,0.423291425633114,0.921799490378701,0.909602532536053,0.91988756148981,Decision_Trees,better-pca
22,ExtraTrees_Classifier_better-no-pca,0.997320094895,0.91593387266971,0.924455375966268,0.997290749104853,0.889640406470456,0.90328518923482,0.951952923314434,0.410204944914739,0.428626198083067,0.997320094895,0.91593387266971,0.924455375966268,0.997320094895,0.91593387266971,0.924455375966268,0.914882175041341,0.3871828704233737,0.399662167373698,0.997320094895,0.91593387266971,0.924455375966268,ExtraTrees_Classifier,better-no-pca
